,dataset,ntot_states,ntot_classes,epochs_init,epochs_incr,algo,backbone,w_mult,d_mult,n_params,acc1,acc5
0,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.1,1.0,3972792,25.01,53.32
1,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.2,0.2,2933360,26.22,54.56
2,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.2,0.5,2936384,25.99,54.03
3,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.2,0.75,4004280,25.37,54.08
4,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.2,1.0,4007304,24.97,52.94
5,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.5,0.75,4127792,25.92,54.41
6,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.5,1.0,4143992,25.74,53.91
7,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.75,0.2,3113392,27.48,56.99
8,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.1,0.5,1352744,22.4,50.27
9,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.1,2.0,1420880,20.21,47.49
10,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.2,0.5,1436136,23.31,50.74
11,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.2,2.0,1621264,22.2,49.8
12,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.5,0.2,1681704,26.2,54.68
13,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.5,0.75,1953832,24.77,52.73
14,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.5,2.0,2714064,22.89,50.85
15,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.75,0.2,2014728,26.54,55.62
16,imagenet_random_0,10,100,70,70,lucir,resnetBasic,0.2,1.0,530856,24.32,51.25
17,imagenet_random_0,10,100,70,70,lucir,resnetBasic,0.4,0.4,1004712,25.83,53.69
18,imagenet_random_0,10,100,70,70,lucir,resnetBasic,0.4,1.0,2010792,25.41,52.86
19,imagenet_random_0,10,100,70,70,lucir,resnetBasic,0.6,0.4,2142088,26.08,53.62
20,imagenet_random_0,10,100,70,70,lucir,resnetBasic,1.0,1.0,11689512,26.31,54.53
21,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.1,0.5,2906488,26.12,54.24
22,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.1,0.5,2906488,25.66,53.74
23,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.1,0.75,3971856,24.92,52.38
24,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.75,0.5,3147008,26.56,55.39
25,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.75,1.0,4287240,25.12,53.2
26,imagenet_random_0,10,100,70,70,lucir,shufflenet,1.0,0.2,3208360,27.82,57.28
27,imagenet_random_0,10,100,70,70,lucir,shufflenet,1.0,0.5,3265664,27.0,55.61
28,imagenet_random_0,10,100,70,70,lucir,shufflenet,1.0,0.75,4403104,25.39,53.79
29,imagenet_random_0,10,100,70,70,lucir,shufflenet,1.0,1.0,4460408,25.2,52.83
30,imagenet_random_0,10,100,70,70,lucir,shufflenet,2.0,0.2,3694912,28.55,58.04
31,imagenet_random_0,10,100,70,70,lucir,shufflenet,0.2,0.5,2936384,25.93,54.42
32,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.75,0.5,2305416,25.99,54.63
33,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.75,0.75,2604936,25.24,53.69
34,imagenet_random_0,10,100,70,70,lucir,mobilenet,0.75,1.0,2636424,25.17,53.96
35,imagenet_random_0,10,100,70,70,lucir,mobilenet,1.0,0.2,2426984,27.24,56.43
36,imagenet_random_0,10,100,70,70,lucir,mobilenet,1.0,0.5,2934376,26.28,55.61
37,imagenet_random_0,10,100,70,70,lucir,mobilenet,1.0,1.0,3504872,25.63,54.27
38,imagenet_random_0,10,100,70,70,lucir,resnetBasic,0.1,1.0,196616,22.47,48.58
39,imagenet_random_0,10,100,70,70,lucir,resnetBasic,0.2,0.4,299688,24.36,51.4
